id,price
264893,1574452.316
264899,191028.736
264910,518409.02
264915,135623.2
264919,56976.598
264928,183016.798
264932,127370.0
264935,154820.0
264939,345954.002
264944,123680.0
264954,155959.46566666666
264955,156027.46566666666
264969,1766122.056
264978,128506.03
264983,139379.272
264984,60842.38
264985,108559.998
265031,157825.0
265032,136128.43
265058,262282.86466666666
265066,189345.4
265068,128841.222
265069,790729.688
265070,118464.822
265077,106043.548
265090,654412.3193333333
265094,430142.998
265101,183062.798
265102,117313.0751904762
265105,138381.0
265106,116763.0751904762
265108,140764.83809523808
265115,156649.46566666666
265147,56976.598
265152,150026.8
265153,130777.2
265170,664205.572
265176,81102.904
265187,696514.356
265189,114544.598
265198,615063.8
265225,92376.144
265233,115801.0
265237,391867.2
265253,280198.388
265280,336714.048
265287,211265.8
265293,134649.198
265296,181451.8
265307,347355.358
265308,318280.312
265312,358312.232
265313,137657.378
265314,224642.4
265315,225916.6
265320,179447.194
265333,202285.198
265346,182063.028
265351,251203.002
265356,123049.192
265357,121309.786
265358,117698.894
265363,311016.0
265369,110826.598
265372,198255.212
265402,321617.456
265406,162004.648
265420,343570.972
265436,167983.13533333334
265438,165292.78
265442,144575.8
265449,161905.2
265452,327012.706
265455,146537.648
265461,558242.0
265465,142558.4
265481,132038.8
265488,202784.87466666667
265501,124979.57222222222
265514,251384.2
265515,134583.57
265516,130049.344
265517,413969.38
265526,208468.8
265533,159135.0073333333
265539,143755.598
265543,132331.9028
265544,139642.6
265556,179571.2
265559,222965.014
265561,276090.804
265584,267092.4
265586,155687.0
265587,158303.0
265588,171269.658
265593,358983.4
265596,531614.932
265607,172381.002
265608,196015.4
265610,274376.22
265613,436383.158
265653,224795.0
265663,460011.382
265669,325912.708
265675,160581.248
265699,439656.384
265701,296552.6
265703,199672.878
265704,199548.078
265743,199093.878
265748,129983.76466666667
265759,243547.598
265795,301982.8
265797,225506.014
265805,363279.404
265806,144459.398
265810,148939.06126666666
265819,166687.68
265820,286232.2
265833,209453.904
265834,72390.75786507937
265843,649135.72
265851,608222.324
265862,720441.4
265864,1176120.012
265869,179762.074
265887,866604.324
265907,518449.496
265913,1466202.0
265921,114017.0932
265923,380000.0
265925,781595.56
265957,312797.014
265958,1623266.732
265960,177487.142
265963,134341.49174825178
265969,1318787.18
266004,552085.124
266028,59300.388
266029,664362.294
266032,852695.916
266034,637646.036
266055,754034.09
266075,774020.53
266077,1159628.732
266080,311547.014
266093,1371077.972
266094,740161.3733333333
266100,631549.834
266116,671464.724
266129,563416.48
266144,450000.0
266160,1056644.324
266165,537788.4533333333
266196,248620.85
266199,338080.204
266202,271889.0213333334
266210,249040.922
266211,609039.324
266213,324267.702
266218,267950.626
266219,265471.282
266220,564317.8
266234,340580.456
266241,162867.836
266248,207972.982
266251,342381.91
266256,527397.276
266259,350000.0
266274,216538.0213333333
266275,703101.6
266276,933472.884
266279,306736.80666666664
266280,498642.358
266281,557736.316
266299,522762.532
266300,309059.496
266305,75433.15066666665
266314,635743.786
266315,563259.0053333333
266329,89554.59
266332,170751.6
266350,180000.0
266368,258041.124
266375,258747.732
266381,178444.0
266382,208003.6
266393,116495.358
266394,298497.6
266402,115532.594
266406,249675.49
266423,126871.76
266424,102501.954
266438,130881.354
266454,243904.394
266463,152269.992
266465,148950.598
266479,164961.79
266480,281969.0
266485,369794.0
266486,142707.6
266496,254008.732
266508,292825.2
266510,161176.14
266511,291927.586
266512,217368.386
266514,131775.382
266517,280771.4
266539,194444.19
266542,370742.166
266545,97589.56360793652
266548,350870.292
266550,259482.4
266556,221414.8
266559,245913.336
266565,164124.552
266568,306754.6
266569,127119.734
266575,215849.0
266580,207787.004
266581,134331.586
266582,151015.422
266583,136755.194
266602,447854.3333333333
266606,231868.4
266618,276633.398
266619,287576.666
266620,156150.8666666667
266624,142788.633
266626,315224.684
266662,136293.594
266667,398005.402
266668,439052.932
266677,986711.78
